0.150741, 0.972722, 0.00721302, 0.895539
0.956495, 0.557924, 0.737115, 0.331998
0.588746, 0.816816, 0.546586, 0.491801
0.0376593, 0.779166, 0.178887, 0.40353
0.800469, 0.677995, 0.783876, 0.992457
0.716469, 0.846618, 0.326195, 0.242862
0.895948, 0.742573, 0.32164, 0.936265
0.374444, 0.599609, 0.385148, 0.645638
0.221674, 0.688089, 0.77562, 0.413324
0.266434, 0.594567, 0.96765, 0.808388
0.789219, 0.879785, 0.600003, 0.807392
0.932952, 0.746933, 0.221204, 0.328758
0.0020297, 0.732598, 0.486128, 0.739034
0.69203, 0.947592, 0.900489, 0.876343
0.249706, 0.0144325, 0.314701, 0.638959
0.270782, 0.564724, 0.773758, 0.626711
0.166942, 0.982754, 0.217316, 0.698879
0.130602, 0.121459, 0.697896, 0.489555
0.340733, 0.45793, 0.815561, 0.196084
0.0704897, 0.869166, 0.430079, 0.787283
0.60776, 0.673902, 0.019143, 0.74538
0.193363, 0.828551, 0.408995, 0.861534
0.243489, 0.34694, 0.131963, 0.804297
0.68888, 0.488886, 0.334536, 0.477224
0.852456, 0.887219, 0.38691, 0.89937
0.648283, 0.536665, 0.605436, 0.634361
0.996041, 0.259156, 0.465125, 0.442805
0.529827, 0.298388, 0.397344, 0.500097
0.637123, 0.812635, 0.296439, 0.684557
0.0747377, 0.139103, 0.801571, 0.455334
0.350562, 0.0597353, 0.172055, 0.474654
0.883203, 0.0470822, 0.315127, 0.762412
0.115859, 0.554054, 0.965095, 0.409162
0.413938, 0.0886921, 0.798945, 0.0620685
0.131083, 0.255154, 0.378963, 0.0235769
0.953231, 0.556834, 0.0742667, 0.390477
0.149635, 0.567481, 0.377601, 0.579016
0.860911, 0.439271, 0.736137, 0.921197
0.694498, 0.527627, 0.518336, 0.436066
0.87971, 0.988379, 0.694611, 0.49603
0.026104, 0.532172, 0.605263, 0.170174
0.262788, 0.792077, 0.834602, 0.774583
0.305692, 0.128181, 0.0503923, 0.379576
0.805038, 0.93962, 0.258642, 0.66698
0.700571, 0.541175, 0.290222, 0.202577
